Academic Period,Course Section,AMH CF LRV Course Definition,Course Title,Registration Status,Anonymized ID
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,118416611
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,117053382
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,114816147
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,78743147
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,117933139
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,116560221
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,114820507
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,117069185
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,115959529
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,115960861
Fall 2024,AAPI 208-01 - A/P/A Sports,AAPI 208/ AMST 208 - A/P/A Sports,Asian Pacific American Sports: Clever Headers and Warriors,Registered,114764985
