Building,Room,Priority/Note,Website Count,EMS
Aliki Lyceum Room,201,flat lecture,NA,30
Barrett Hall Room,105,flat lecture,18,18
Beneski Museum of Natural History Room,107,raked lecture,60,60
Chapin Hall Room,201,flat lecture,40,40
Converse Hall Room,207,flat lecture,37,35
Fayerweather Hall Room,113,flat lecture,35,35
Fayerweather Hall Room,115 Pruyne,raked lecture,80,80
Fayerweather Hall Room,117,flat lecture,35,35
Johnson Chapel Room,202,flat lecture,40,31
Stirn Auditorium Room,115,raked lecture,188,188
Science Center Room,A011,raked lecture,75,75
Science Center Room,A131,flat lecture,50,50
Science Center Room,E108,flat lecture,48,45
Science Center Room,E110,raked lecture,153,150
Science Center Room,E210,flat lecture,30,30
Seeley Mudd Room,014,flat lecture,45,45
Seeley Mudd Room,204,flat lecture,36,36
Seeley Mudd Room,205,flat lecture,36,36
Seeley Mudd Room,206,flat lecture,56,56
Seeley Mudd Room,207,flat lecture,36,36
Webster Hall Room,219,flat lecture,15,16
